number,id,name,speed,positionX,positionY,timestamp,lane,in,out,left_id,front_id,right_id,back_id,left_distance,front_distance,right_distance,back_distance
1,2,motorcycle,,1059,599,1688833121412
2,4,car,,457,377,1688833121412
3,5,person,,1070,569,1688833121412
4,6,bicycle,,1059,599,1688833121412
5,7,traffic light,,587,323,1688833121412
6,8,car,,840,410,1688833121412
7,9,car,,1240,516,1688833121412
8,10,traffic light,,310,319,1688833121412
9,11,traffic light,,1035,75,1688833121412
10,12,car,,602,481,1688833121412
11,13,truck,,107,529,1688833121412
12,2,motorcycle,9km/h,1058,600,1688833121445
13,4,car,13km/h,459,377,1688833121445
14,5,person,9km/h,1069,570,1688833121445
15,6,bicycle,0km/h,1059,599,1688833121445
16,7,traffic light,0km/h,587,323,1688833121445
17,8,car,75km/h,851,412,1688833121445
18,9,car,0km/h,1240,516,1688833121445
19,10,traffic light,0km/h,310,319,1688833121445
20,11,traffic light,6km/h,1035,74,1688833121445
21,12,car,51km/h,595,484,1688833121445
22,13,truck,27km/h,103,529,1688833121445
23,2,motorcycle,4km/h,1058,600,1688833121479
24,4,car,6km/h,459,377,1688833121479
25,5,person,4km/h,1069,570,1688833121479
26,6,bicycle,0km/h,1059,599,1688833121479
27,7,traffic light,0km/h,587,323,1688833121479
28,8,car,74km/h,862,413,1688833121479
29,9,car,0km/h,1240,516,1688833121479
30,10,traffic light,0km/h,310,319,1688833121479
31,11,traffic light,6km/h,1036,74,1688833121479
32,12,car,46km/h,589,485,1688833121479
33,13,truck,27km/h,99,530,1688833121479
34,2,motorcycle,3km/h,1058,600,1688833121512
35,4,car,7km/h,460,378,1688833121512
36,5,person,7km/h,1071,570,1688833121512
37,6,bicycle,2km/h,1059,598,1688833121512
38,7,traffic light,2km/h,587,322,1688833121512
39,8,car,81km/h,876,414,1688833121512
40,9,car,0km/h,1240,516,1688833121512
41,10,traffic light,0km/h,310,319,1688833121512
42,11,traffic light,4km/h,1036,74,1688833121512
43,12,car,46km/h,582,486,1688833121512
44,13,truck,27km/h,95,530,1688833121512
45,2,motorcycle,2km/h,1058,600,1688833121545
46,4,car,7km/h,461,377,1688833121545
47,5,person,5km/h,1071,570,1688833121545
48,6,bicycle,3km/h,1060,599,1688833121545
49,7,traffic light,1km/h,587,322,1688833121545
50,8,car,82km/h,889,415,1688833121545
51,9,car,0km/h,1240,516,1688833121545
52,10,traffic light,0km/h,310,319,1688833121545
53,11,traffic light,4km/h,1036,73,1688833121545
54,12,car,46km/h,575,487,1688833121545
55,13,truck,28km/h,90,530,1688833121545
56,2,motorcycle,1km/h,1058,600,1688833121579
57,4,car,7km/h,461,376,1688833121579
58,5,person,5km/h,1072,570,1688833121579
59,6,bicycle,3km/h,1060,599,1688833121579
60,7,traffic light,1km/h,587,322,1688833121579
61,8,car,86km/h,904,417,1688833121579
62,9,car,0km/h,1240,516,1688833121579
63,10,traffic light,1km/h,310,320,1688833121579
64,11,traffic light,3km/h,1036,73,1688833121579
65,12,car,45km/h,569,488,1688833121579
66,13,truck,29km/h,85,530,1688833121579
67,2,motorcycle,2km/h,1058,601,1688833121612
68,4,car,7km/h,462,377,1688833121612
69,5,person,5km/h,1072,571,1688833121612
70,6,bicycle,2km/h,1060,599,1688833121612
71,7,traffic light,2km/h,587,321,1688833121612
72,8,car,89km/h,919,418,1688833121612
73,9,car,0km/h,1240,516,1688833121612
74,10,traffic light,1km/h,310,320,1688833121612
75,11,traffic light,3km/h,1036,73,1688833121612
76,12,car,46km/h,562,491,1688833121612
77,13,truck,30km/h,80,531,1688833121612
78,2,motorcycle,2km/h,1058,601,1688833121645
79,4,car,7km/h,463,377,1688833121645
80,5,person,4km/h,1072,571,1688833121645
81,6,bicycle,3km/h,1060,600,1688833121645
82,7,traffic light,1km/h,587,321,1688833121645
83,8,car,88km/h,932,420,1688833121645
84,9,car,0km/h,1240,516,1688833121645
85,10,traffic light,0km/h,310,320,1688833121645
86,11,traffic light,3km/h,1037,73,1688833121645
87,12,car,46km/h,555,492,1688833121645
88,13,truck,30km/h,75,532,1688833121645
89,4,car,8km/h,465,376,1688833121679
90,5,person,6km/h,1070,570,1688833121679
91,6,bicycle,2km/h,1060,600,1688833121679
92,7,traffic light,2km/h,587,322,1688833121679
93,8,car,92km/h,949,422,1688833121679
94,9,car,0km/h,1240,516,1688833121679
95,10,traffic light,0km/h,310,320,1688833121679
96,11,traffic light,4km/h,1036,74,1688833121679
97,12,car,47km/h,547,494,1688833121679
98,13,truck,32km/h,69,534,1688833121679
99,2,motorcycle,,1058,600,1688833121712
100,4,car,9km/h,467,378,1688833121712
101,5,person,6km/h,1069,569,1688833121712
102,6,bicycle,3km/h,1060,599,1688833121712
103,7,traffic light,2km/h,587,322,1688833121712
104,8,car,93km/h,964,423,1688833121712
105,9,car,0km/h,1240,516,1688833121712
106,10,traffic light,0km/h,310,320,1688833121712
107,11,traffic light,4km/h,1037,75,1688833121712
108,12,car,49km/h,537,496,1688833121712
109,13,truck,33km/h,63,532,1688833121712
110,2,motorcycle,0km/h,1058,600,1688833121745
111,4,car,9km/h,469,378,1688833121745
112,5,person,6km/h,1068,569,1688833121745
113,6,bicycle,2km/h,1060,599,1688833121745
